Item(s),Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10,Item 11,Item 12,Item 13,Item 14,Item 15,Item 16,Item 17,Item 18,Item 19,Item 20,Item 21,Item 22,Item 23,Item 24,Item 25,Item 26,Item 27,Item 28,Item 29,Item 30,Item 31,Item 32
3,milk,jam,bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,milk,bread,eggs,jam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,bread,butter,jam,milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,eggs,cheese,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,milk,bread,cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,eggs,bread,butter,milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,milk,eggs,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,bread,butter,milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,eggs,cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,bread,jam,milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,eggs,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,milk,bread,jam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,cheese,butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,eggs,jam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,milk,butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,bread,yogurt,milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,eggs,butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,milk,cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,bread,cheese,milk,jam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
